Code,LatitudeOrig,LongitudeOrig,Shift,LatitudeShifted,LongitudeShifted,Name,Address,Q3,Q6_1,Q6_2,Q6_3,Q6_4,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q12_1,Q12_2,Q12_3,Q12_4,Q13_1,Q13_2,Q13_3,Q13_4,Q14_1,Q14_2,Q14_3,Q14_4,Q15_1,Q15_2,Q15_3,Q15_4,Q16_1,Q16_2,Q16_3,Q16_4,Q17_1,Q17_2,Q17_3,Q17_4,Q19_1,Q19_2,Q19_3,Q19_4,Q22_1,Q22_2,Q22_3,Q22_4,Q22_5,Q23_1,Q23_2,Q23_3,Q23_4,Q23_5,Q34_1,Q34_2,Q34_3,Q34_4,Q34_5,Q34_6,Q34_7,Q35,Q36,Q38_1,Q38_2,Q38_3,Q38_4,Q38_5,Q38_6,Q39
01M015,40.721834,-73.978766,0,40.721834,-73.978766,P.S. 015 Roberto Clemente,333 E 4 ST,2,0,0,0,0,1,1,7,11,1,18,28,18,18,36,56,36,46,36,56,56,36,36,56,10,20,18,28,5,0,18,28,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,3,3,23,4,3,17,4,1,1
01M019,40.729835,-73.984243,0,40.729835,-73.984243,P.S. 019 Asher Levy,185 1 AVE,2,0,0,0,0,2,5,3,1,2,22,22,0,0,22,22,0,40,22,22,0,30,208,48,0,40,208,48,0,40,200,60,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,13,8,0,18,0,0
01M020,40.721067,-73.9864,0,40.721067,-73.9864,P.S. 020 Anna Silver,166 ESSEX ST,4,0,0,0,0,3,6,2,3,1,1,1,0,1,5,5,0,5,6,6,0,6,0,0,0,5,4,4,0,4,8,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,2,4,12,6,0,3,0,1
01M034,40.726137,-73.97506,0,40.726137,-73.97506,P.S. 034 Franklin D. Roosevelt,730 E 12 ST,4,0,0,0,0,0,1,0,0,0,0,2,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,2,0,2,0,2,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,0,0,1,0,0
01M063,40.724407,-73.986263,0,40.724407,-73.986263,The STAR Academy - P.S.63,121 E 3 ST,2,0,0,0,0,3,3,1,3,0,10,0,0,0,20,0,2,0,20,0,0,0,20,0,8,0,20,0,0,0,20,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,1,5,1,1,0,8,10,1
01M064,40.723846,-73.981763,0,40.723846,-73.981763,P.S. 064 Robert Simon,600 E 6 ST,3,0,0,0,0,0,0,0,1,0,60,0,0,0,24,0,0,0,24,0,0,0,0,0,0,60,12,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,8,0,1,0,0
01M110,40.71525,-73.979994,0,40.71525,-73.979994,P.S. 110 Florence Nightingale,285 DELANCY ST,2,0,0,0,0,1,2,1,1,1,60,84,0,0,40,56,0,0,48,56,0,0,0,84,0,0,96,112,0,48,0,84,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,3,4,0,6,0,7,0,0
01M134,40.714406,-73.983291,0,40.714406,-73.983291,P.S. 134 Henrietta Szold,293 E BROADWAY,4,1,1,0,0,1,1,1,1,1,0,0,0,20,0,0,0,60,0,0,0,60,0,0,0,60,0,0,0,80,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,2,2,0,0,0,1
01M140,40.719128,-73.983283,0,40.719128,-73.983283,P.S. 140 Nathan Straus,123 RIDGE ST,4,0,0,0,1,0,1,0,1,0,0,0,0,20,30,0,0,40,30,0,0,20,0,0,0,40,0,0,0,40,0,0,15,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,4,2,1,0,2,0,0
01M142,40.718257,-73.984013,0,40.718257,-73.984013,P.S. 142 Amalia Castro,100 ATTORNEY ST,2,0,0,0,0,1,3,1,7,1,0,0,5,6,0,0,0,0,0,0,15,0,0,54,27,0,0,54,15,0,0,120,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,3,1,4,3,0,5,4,2,1
01M184,40.711346,-73.985682,0,40.711346,-73.985682,P.S. 184M Shuang Wen,327 CHERRY ST,2,0,0,0,0,1,1,0,2,1,0,10,0,0,0,20,0,0,0,30,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,40,0,0,1,0,0,1,0,254,0,0,254,0,0,0,0,0,0,1,0,2,1,4,1,1,0,0,0,1
01M188,40.719899,-73.977355,0,40.719899,-73.977355,P.S. 188 The Island School,442 E HOUSTON ST,2,0,0,0,1,1,1,1,1,1,0,5,13,32,0,0,16,50,0,0,16,38,39,0,0,51,39,0,0,39,60,60,69,0,0,0,0,0,0,1,0,0,0,0,58,0,0,0,1,0,1,0,0,0,1,3,2,2,7,2,1,6,0,1
01M292,40.713446,-73.986033,0,40.713446,-73.986033,Orchard Collegiate Academy,220 HENRY ST,4,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,3,2,2,2,1,0,1,0,0
01M301,40.729835,-73.984243,1,40.729835,-73.984043,"Technology, Arts, and Sciences Studio",185 1 AVE,4,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,0,0,0,1,0,0,0,0,60,0,1,0,0,0,0,0,0,3,2,3,4,2,2,2,0,0
01M315,40.727726,-73.978382,0,40.727726,-73.978382,The East Village Community School,610 E 12 ST,4,0,0,0,0,2,1,1,1,8,0,0,4,10,20,0,8,0,70,0,0,0,90,0,0,20,110,0,10,10,110,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,3,3,3,10,7,1,1,0,0
01M361,40.727726,-73.978382,1,40.727726,-73.978182,The Children's Workshop School,610 E 12 ST,4,0,0,0,0,0,0,2,2,0,0,0,0,0,0,160,0,160,0,160,0,160,0,80,0,80,0,80,0,80,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,2,6,6,6,2,6,0,0
01M363,40.724407,-73.986263,1,40.724407,-73.986063,Neighborhood School,121 E 3 ST,4,0,0,0,0,1,1,1,1,0,0,20,0,20,0,80,0,80,0,80,0,80,20,0,40,40,30,0,60,60,30,0,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,2,11,0,7,0,12,0,1
01M364,40.723846,-73.981763,1,40.723846,-73.981563,Earth School,600 E 6 ST,4,0,0,0,1,0,0,0,1,0,0,40,0,0,0,160,0,0,0,160,0,0,60,0,0,0,120,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,3,3,20,2,7,8,12,0,0
01M378,40.720088,-73.986033,0,40.720088,-73.986033,School for Global Leaders,145 STANTON ST,2,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,810,0,0,0,1,0,0,0,0,280,0,1,0,0,0,1,0,0,3,3,1,1,1,1,1,0,1
01M448,40.712354,-73.984059,0,40.712354,-73.984059,University Neighborhood High School,200 MONROE ST,2,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,1,7,6,16,6,3,0,1
01M450,40.729047,-73.982498,0,40.729047,-73.982498,East Side Community School,420 E 12 ST,2,0,1,0,0,1,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,3,13,8,8,0,8,0,0
01M458,40.722445,-73.990395,0,40.722445,-73.990395,Forsyth Satellite Academy,198 FORSYTH ST,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,3,0,0,0
01M509,40.720088,-73.986033,1,40.720088,-73.985833,Marta Valle High School,145 STANTON ST,2,0,0,0,0,1,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,2,1,3,2,0,1,0,0
01M515,40.720088,-73.986033,2,40.720088,-73.985633,Lower East Side Preparatory High School,145 STANTON ST,2,1,1,1,1,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,2,4,0,3,4,3,0,1
01M539,40.7195,-73.979239,0,40.7195,-73.979239,"New Explorations into Science, Technology and Math High School",111 COLUMBIA ST,4,0,0,0,0,0,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,40,48,80,0,40,80,0,0,80,0,0,0,0,0,1,0,1,0,0,140,0,140,0,0,0,0,0,1,1,0,2,3,5,18,4,3,8,3,0
01M650,40.722445,-73.990395,1,40.722445,-73.990195,Cascades High School,198 FORSYTH ST,2,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,2,2,2,2,3,0,0
01M696,40.718092,-73.976075,0,40.718092,-73.976075,Bard High School Early College,525 E HOUSTON ST,2,1,1,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,2,3,2,6,2,0,2,0,0
01M839,40.723846,-73.981763,2,40.723846,-73.981363,Tompkins Square Middle School,600 E 6 ST,3,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,1,0,1,1,0,124,0,124,124,0,1,0,0,0,1,1,0,3,2,3,1,2,1,6,6,1
02M001,40.712583,-73.997649,0,40.712583,-73.997649,P.S. 001 Alfred E. Smith,8 HENRY ST,4,0,1,0,1,1,2,2,2,1,60,60,20,60,180,120,60,120,160,160,80,320,320,240,160,160,40,40,100,200,320,160,160,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,1,4,8,7,0,3,0,0
02M002,40.713049,-73.99168,0,40.713049,-73.99168,P.S. 002 Meyer London,122 HENRY ST,2,0,0,0,0,0,2,1,1,1,0,0,50,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,2,4,2,7,0,0
02M003,40.732737,-74.006107,0,40.732737,-74.006107,P.S. 003 Charrette School,490 HUDSON ST,4,0,0,0,0,2,1,1,2,1,0,80,14,80,0,90,7,29,10,360,79,90,10,360,88,90,16,205,5,30,28,205,87,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,21,12,24,16,23,0,1
02M006,40.777644,-73.96055,0,40.777644,-73.96055,P.S. 006 Lillie D. Blake,45 E 81 ST,2,0,0,0,0,0,1,1,1,0,0,0,44,0,48,0,0,0,48,0,0,0,48,0,0,0,80,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,3,3,1,4,0,2,1,0
02M011,40.744289,-74.000679,0,40.744289,-74.000679,P.S. 011 William T. Harris,320 W 21 ST,2,0,0,0,0,2,2,2,1,1,140,0,0,0,120,0,0,0,55,0,0,0,60,0,132,0,154,0,0,0,100,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,8,0,22,0,8,4,1
02M033,40.749023,-74.000311,0,40.749023,-74.000311,P.S. 033 Chelsea Prep,281 9 AVE,4,0,0,0,0,1,1,1,1,0,0,640,20,20,0,800,100,100,0,800,100,200,0,800,150,100,360,480,80,80,400,200,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,2,1,12,30,12,1,22,0,0
02M040,40.735118,-73.981697,0,40.735118,-73.981697,P.S. 040 Augustus Saint-Gaudens,319 E 19 ST,2,0,0,0,0,2,2,1,1,1,0,0,0,0,0,0,36,0,33,0,0,0,0,0,40,0,90,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2,3,5,6,5,2,13,0,0
02M041,40.735587,-73.99921,0,40.735587,-73.99921,P.S. 041 Greenwich Village,116 W 11 ST,2,1,0,1,0,1,1,1,1,1,0,0,0,0,0,30,0,0,0,24,0,32,40,24,0,24,160,40,0,0,40,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,3,5,7,3,0,2,0,0
02M042,40.716112,-73.990946,0,40.716112,-73.990946,P.S. 042 Benjamin Altman,71 HESTER ST,2,1,1,0,0,2,2,1,1,0,1,1,1,0,100,8,80,0,132,0,40,192,40,80,120,32,50,175,0,250,150,150,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,3,2,9,7,6,3,12,0,1
02M047,40.738774,-73.981396,0,40.738774,-73.981396,47 The American Sign Language and English Secondary School,223 E 23 ST,2,1,0,1,1,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,1,2,3,0,0
02M051,40.76143,-73.995425,0,40.76143,-73.995425,P.S. 051 Elias Howe,525 W 44 ST,4,0,0,0,0,1,2,1,2,1,30,0,0,0,0,0,0,0,0,0,0,0,24,0,12,33,32,0,10,12,50,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,10,24,6,1,7,1,1
02M059,40.759213,-73.966183,0,40.759213,-73.966183,P.S. 059 Beekman Hill International,231-249 E 56 ST,3,0,1,0,1,1,2,2,1,0,20,0,0,0,80,0,12,48,48,0,12,48,0,30,45,0,0,40,60,0,0,30,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,3,3,12,11,5,1,4,2,0
02M077,40.785013,-73.949989,0,40.785013,-73.949989,P.S. 77 Lower Lab School,1700 3 AVE,4,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,2,4,1,0,2,0,1
02M089,40.716912,-74.013597,0,40.716912,-74.013597,P.S. 89,201 WARREN ST,4,0,0,0,0,1,1,1,1,1,0,0,0,10,0,0,0,0,0,0,0,0,18,0,0,30,20,0,0,0,40,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,5,5,0,0,0,0
02M104,40.7358,-73.980569,0,40.7358,-73.980569,J.H.S. 104 Simon Baruch,330 E 21 ST,2,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,4,2,0,4,3,0,0
